Subject,Site,Sex,Group,Age,Date,Day,Session,trial_number,Side,chose_side,correct,Comment,ForReliability,,,
Tess,kenya,f,young chimps,26,24/10/2018,15,1,1,r,l,0,,,,,
Tess,kenya,f,young chimps,26,24/10/2018,15,1,2,l,r,0,,,,,
Tess,kenya,f,young chimps,26,24/10/2018,15,1,3,r,r,1,,,,,
Tess,kenya,f,young chimps,26,24/10/2018,15,1,4,l,r,0,,,,,
Tess,kenya,f,young chimps,26,24/10/2018,15,1,5,r,l,0,,,,,
Tess,kenya,f,young chimps,26,24/10/2018,15,1,6,r,l,0,,,,,
Tess,kenya,f,young chimps,26,25/10/2018,15,1,7,l,r,0,,,,,
Tess,kenya,f,young chimps,26,25/10/2018,15,1,8,l,r,0,,,,,
Tess,kenya,f,young chimps,26,25/10/2018,15,1,9,r,l,0,,,,,
Tess,kenya,f,young chimps,26,25/10/2018,15,1,10,l,r,0,,,,,
Tess,kenya,f,young chimps,26,25/10/2018,15,1,11,r,l,0,,,,,
Tess,kenya,f,young chimps,26,25/10/2018,15,1,12,l,r,0,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,1,r,l,0,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,2,l,r,0,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,3,r,r,1,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,4,l,r,0,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,,l,r,0,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,5,r,r,1,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,6,l,r,0,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,7,l,r,0,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,8,r,r,1,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,9,r,r,1,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,10,l,r,0,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,11,l,r,0,,,,,
Roy,kenya,m,young chimps,11,25/10/2018,15,2,12,r,r,1,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,1,r,l,0,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,2,l,r,0,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,3,r,r,1,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,4,l,r,0,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,5,r,l,0,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,6,l,r,0,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,7,l,r,0,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,8,r,l,0,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,9,r,l,0,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,10,l,r,0,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,11,l,r,0,,,,,
Manno,kenya,m,young chimps,5,25/10/2018,15,2,12,r,l,0,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,1,r,r,1,was he blind to one of his eyes? ,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,2,l,r,0,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,3,r,l,0,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,4,l,l,1,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,5,r,l,0,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,6,l,r,0,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,7,l,r,0,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,8,r,l,0,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,9,r,l,0,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,10,l,l,1,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,11,l,r,0,,,,,
Oscar,kenya,m,old chimps,21,29/11/2018,15,1,12,r,l,0,,,,,
Judy,kenya,f,old chimps,35,30/11/2018,15,2,1,r,r,1,"chimp was slightly to the right of the table from the beginning, chose right side consistently. ",,,,
Judy,kenya,f,old chimps,35,30/11/2018,15,2,2,l,r,0,,,,,
Judy,kenya,f,old chimps,35,30/11/2018,15,2,3,r,r,1,,,,,
Judy,kenya,f,old chimps,35,30/11/2018,15,2,4,l,r,0,,,,,
Judy,kenya,f,old chimps,35,30/11/2018,15,2,5,r,r,1,,,,,
Judy,kenya,f,old chimps,35,30/11/2018,15,2,6,l,r,0,,,,,
